CHEMBL1256	GABRB2
CHEMBL1256	GABRG2
CHEMBL1256	GABRB3
CHEMBL1256	GABRA4
CHEMBL1256	GABRG3
CHEMBL1256	GABRQ
CHEMBL1256	GABRA3
CHEMBL1256	GABRP
CHEMBL1256	GABRD
CHEMBL1256	GABRG1
CHEMBL1256	GABRB1
CHEMBL1256	GABRE
CHEMBL1256	GABRA2
CHEMBL1256	GABRA5
CHEMBL1256	GABRA6
CHEMBL1201749	NR3C1
CHEMBL483158	AURKA
CHEMBL1200491	HRH1
CHEMBL1106	HRH1
CHEMBL2109610	IL2RB
CHEMBL3707318	TRPA1
CHEMBL3915620	FFAR1
CHEMBL1743023	NGF
CHEMBL3545108	P2RX7
CHEMBL2110737	MGAM
CHEMBL2110737	GAA
CHEMBL2110737	SI
CHEMBL2110737	MGAM2
CHEMBL1201178	SLC6A2
CHEMBL1201222	SLC6A2
CHEMBL2360464	DHFR
CHEMBL225072	DHFR
CHEMBL2105659	PLA2G10
CHEMBL4594330	LILRA4
CHEMBL4298179	TP53
CHEMBL3125702	TP53
CHEMBL3125702	MDM2
CHEMBL4594395	GABBR1
CHEMBL1342	GABBR1
CHEMBL4594395	GABBR2
CHEMBL1342	GABBR2
CHEMBL1714	GRIN1
CHEMBL742	GRIN1
CHEMBL1714	GRIN2A
CHEMBL742	GRIN2A
CHEMBL1714	GRIN2B
CHEMBL742	GRIN2B
CHEMBL1714	GRIN2D
CHEMBL742	GRIN2D
CHEMBL1714	GRIN3B
CHEMBL742	GRIN3B
CHEMBL1714	GRIN2C
CHEMBL742	GRIN2C
CHEMBL1714	GRIN3A
CHEMBL742	GRIN3A
CHEMBL482968	FLT3
CHEMBL3707248	SLC18A2
CHEMBL2364639	SLC18A2
CHEMBL3707249	CHRM3
CHEMBL266510	KCNQ4
CHEMBL1026	DRD1
CHEMBL588	DRD1
CHEMBL3402567	MAPK14
CHEMBL1208829	MAPK14
CHEMBL4802165	FGFR2
CHEMBL1589	KCNJ11
CHEMBL1589	ABCC8
CHEMBL2108253	CEACAM5
CHEMBL4297887	AGT
CHEMBL2109604	IL18
CHEMBL1738699	ADH5
CHEMBL1683544	TUBB4B
CHEMBL1683590	TUBB4B
CHEMBL1683544	TUBB1
CHEMBL1683590	TUBB1
CHEMBL1683544	TUBA3C
CHEMBL1683590	TUBA3C
CHEMBL1683544	TUBA4A
CHEMBL1683590	TUBA4A
CHEMBL1683544	TUBB3
CHEMBL1683590	TUBB3
CHEMBL1683544	TUBA1A
CHEMBL1683590	TUBA1A
CHEMBL1683544	TUBB4A
CHEMBL1683590	TUBB4A
CHEMBL1683544	TUBB8
CHEMBL1683590	TUBB8
CHEMBL1683544	TUBB
CHEMBL1683590	TUBB
CHEMBL1683544	TUBA1B
CHEMBL1683590	TUBA1B
CHEMBL1683544	TUBA1C
CHEMBL1683590	TUBA1C
CHEMBL1683544	TUBA3E
CHEMBL1683590	TUBA3E
CHEMBL1683544	TUBB2A
CHEMBL1683590	TUBB2A
CHEMBL1683544	TUBB2B
CHEMBL1683590	TUBB2B
CHEMBL1683544	TUBB6
CHEMBL1683590	TUBB6
CHEMBL2109574	TUBB4B
CHEMBL2109574	TUBB1
CHEMBL2109574	TUBA3C
CHEMBL2109574	TUBA4A
CHEMBL2109574	TUBB3
CHEMBL2109574	TUBA1A
CHEMBL2109574	TUBB4A
CHEMBL2109574	TUBB8
CHEMBL2109574	TUBB
CHEMBL2109574	TUBA1B
CHEMBL2109574	TUBA1C
CHEMBL2109574	TUBA3E
CHEMBL2109574	TUBB2A
CHEMBL2109574	TUBB2B
CHEMBL2109574	TUBB6
CHEMBL254328	CYP17A1
CHEMBL2108427	FSHR
CHEMBL3989556	DRD2
CHEMBL22242	DRD2
CHEMBL3989911	SSTR4
CHEMBL216981	CXCR2
CHEMBL5314390	PDGFRB
CHEMBL5316170	PDGFRB
CHEMBL5314357	ITGB3
CHEMBL5314357	ITGAV
CHEMBL3545333	AR
CHEMBL1200874	KCNJ11
CHEMBL782	KCNJ11
CHEMBL1200874	ABCC8
CHEMBL782	ABCC8
